segment_id	char_range	frame_range	speaker_id	document_id
270f0878-c239-42ef-9342-c4aa52268af6	[9125, 9144)	[33240, 33262)	T1_GP1	BE_2019_001_T_ELAN
30d580f2-19e5-4e6f-83f3-ca7e02424e3c	[9144, 9171)	[33392, 33520)	T1_GP1	BE_2019_001_T_ELAN
2c6dd847-4fa7-46c5-84c4-bf3ab0f104b0	[9171, 9219)	[33520, 33824)	T1_GP1	BE_2019_001_T_ELAN
315fdef4-914d-446e-be51-9c909e7faff9	[9219, 9303)	[33825, 34089)	T1_GP1	BE_2019_001_T_ELAN
1b03c16f-2743-4b77-9d90-0e7163b2192a	[9303, 9307)	[34093, 34158)	T1_GP1	BE_2019_001_T_ELAN
f51cc5ab-322b-474e-b7a7-f820b0f92af9	[9307, 9334)	[34160, 34284)	T1_GP1	BE_2019_001_T_ELAN
79a76a26-40de-427b-a39d-6d95a2c06886	[9334, 9345)	[34284, 34390)	T1_GP1	BE_2019_001_T_ELAN
de9d1d39-bf48-4935-81d1-2368ee901e57	[9345, 9387)	[34391, 34542)	T1_GP1	BE_2019_001_T_ELAN
80df0a0b-621a-4ba9-b374-982bebfc71c9	[9387, 9468)	[34542, 34827)	T1_GP1	BE_2019_001_T_ELAN
b8212f48-9446-45f7-8929-fdaa0e209e45	[9468, 9586)	[35177, 35378)	T1_GP1	BE_2019_001_T_ELAN
3f002512-5e39-4a9f-95f5-1f83aa2fc8c2	[9586, 9622)	[35493, 35587)	T1_GP1	BE_2019_001_T_ELAN
5fa7b755-a63d-4019-847e-786e5dae4e8c	[9622, 9647)	[35588, 35735)	T1_GP1	BE_2019_001_T_ELAN
54d7ea42-5405-42e4-96c6-0d4628e9b171	[9647, 9762)	[35735, 35889)	T1_GP1	BE_2019_001_T_ELAN
9953537b-093b-4855-b9a0-437b7803b55d	[9762, 9797)	[35923, 36013)	T1_GP1	BE_2019_001_T_ELAN
0144bfbf-cc00-48ff-ad08-fa61acf5de07	[9797, 9876)	[36015, 36140)	T1_GP1	BE_2019_001_T_ELAN
6ebae8ef-bf0e-4a2f-b17a-fa5b2940341c	[9876, 9896)	[36142, 36274)	T1_GP1	BE_2019_001_T_ELAN
ab83afcd-93de-4e8c-901a-5bd626986807	[9896, 9907)	[36472, 36582)	T1_GP1	BE_2019_001_T_ELAN
c25e3bf1-2241-4039-811c-7f266776de3d	[9907, 9992)	[36595, 36763)	T1_GP1	BE_2019_001_T_ELAN
39e43300-125d-49ed-9682-fd7021a5b3db	[9992, 10000)	[37035, 37106)	T1_GP1	BE_2019_001_T_ELAN
df7c3170-0fd1-4999-9ecc-d273967ab032	[10000, 10035)	[37148, 37224)	T1_GP1	BE_2019_001_T_ELAN
0838ed2d-8c4f-4d69-8a26-5bd968e8db6d	[10035, 10041)	[37226, 37256)	T1_GP1	BE_2019_001_T_ELAN
4c0ab860-5dbe-483a-9358-a0a067ed29c7	[10041, 10096)	[37318, 37404)	T1_GP1	BE_2019_001_T_ELAN
fea4e695-5e00-4c95-9d81-a90543b931ad	[10096, 10239)	[37405, 37584)	T1_GP1	BE_2019_001_T_ELAN
13cfafa8-8801-40f5-ba39-35de2fcab1af	[10239, 10266)	[37755, 37831)	T1_GP1	BE_2019_001_T_ELAN
4a3b77a5-4932-4881-b5b2-7f439b1821d4	[10266, 10299)	[37900, 38068)	T1_GP1	BE_2019_001_T_ELAN
558e2784-605f-4f71-9e96-5eb2d4b2cc98	[10299, 10320)	[38073, 38172)	T1_GP1	BE_2019_001_T_ELAN
e7220790-685c-4b83-8efc-96d4d5be3967	[10320, 10419)	[38174, 38344)	T1_GP1	BE_2019_001_T_ELAN
0fdde25c-43ab-4a75-958f-b3e0b5b9752c	[10419, 10446)	[38347, 38462)	T1_GP1	BE_2019_001_T_ELAN
02ab9846-6d95-4a94-ad17-547826c341bf	[10446, 10465)	[38541, 38681)	T1_GP1	BE_2019_001_T_ELAN
dc13afb0-ab2a-41a2-8f13-ab6611cf3bb4	[10465, 10498)	[38702, 38905)	T1_GP1	BE_2019_001_T_ELAN
c95087bb-0563-45df-8980-5ef748654b47	[10498, 10508)	[38921, 38956)	T1_GP1	BE_2019_001_T_ELAN
448219db-d973-4018-9fb4-8aa0a79ca292	[10508, 10605)	[38996, 39258)	T1_GP1	BE_2019_001_T_ELAN
71fee79d-060b-434c-a047-44227cc3748a	[10605, 10647)	[39258, 39378)	T1_GP1	BE_2019_001_T_ELAN
